Остановочные пункты	6202	6204	6602	6002	6302	6452	6206	6402	6004	6208	7002	6604	6210	6702	6006	6342	6408	6304	6212	6454	7102	6606	6008	6608	6010	6214Р 6216В	6704	6102	6012	6218	6220	7086	6222	6456	6680	6504	6706	6224 Р 6226 В	6228	6014	6458	6492	6016Р  6018В	6230	6760Р 6232В	6306	6234	6610	7142	6612	6494	6506	6236Р 6238В 	6708	6308	6742	7144	6440	6344	6582	6240	6020	6614	6520	6710	6310	6104	6242	6406	6022	7104	6024	6244	6508	6028	6744	6616	6026	6248	6312	6252	6314	6254	6030	7088	6032	6258	6260	6316	6510	6262	6318	7146	6618	6264	6512	6266	6320	6268	6460	6620	6346	6036	6712	6322	6270	6622	6038	6272	6462	6972	6714	6324	6624	6522	6274	6716	6106	6464	6524	6040	6326	6042
Бородино	до станции Лобня	до станции Лобня		до станции Подольск	4.11	от станции Усово	до станции Дмитров		до станции Щербинка				до станции Дубна		5.13	5.13			до станции Икша	от станции Усово			до станции Щербинка			до станции Лобня		6.44	до станции Люблино-дачное	до станции Лобня	до станции Дубна		от станции Усово до станции Лобня	от станции Усово				Р-до станции Лобня                              В-до станции Дмитров	8.09	до станции Люблино-дачное	от станции Усово	от станции Усово	Р-до станции Подольск                            В-до станции Царицыно	до станции Бескудниково	Р-до станции Москва-Бел.                            В-до станции Икша						от станции Усово		Р-до станции Бескудниково                            В-до станции Икша								от станции Усово до станции Икша	до станции Царицыно						от станции Усово до станции Икша		до станции Чехов		до станции Щербинка	до станции Лобня		до станции Москва-Курская			от станции Усово      до станции Серпухов	до станции Икша	15.23	до станции Дмитров	15.54	до станции Лобня	до станции Подольск		до станции Серпухов	до станции Дмитров	до станции Лобня			до станции Лобня	17.29			до станции Лобня		до станции Лобня		до станции Икша	от станции Усово			до станции Подольск			до станции Лобня		до станции Люблино-дачное	до станции Икша	от станции Усово			20.25			до станции Лобня			от станции Усово		до станции Люблино-дачное	22.34	до станции Серпухов
Можайск					4.22					5.05					5.37	5.37		5.50			6.24				6.35			7.07											8.20							9.24	9.38		 10.00 						10.52		11.57		12.05							13.06	13.50				15.11									15.34		16.05							17.16			17.45	18.11					18.34				18.57			19.09						20.04		20.37					21.56				22.46	
пл. 109 км					4.25					5.08					5.40	5.40		5.54			-				6.38			7.10											8.23							9.27	9.41		-						10.55		-		12.08							13.11	13.53				-									15.37		16.08							17.20			17.49	-					18.37				19.00			19.13						-		20.41					-				22.49	
пл. Кукаринская					-					5.12					5.44	5.44		5.58			-				6.42			-											8.27							9.31	9.45		-						10.59		-		12.12							13.15	-				-									15.41		16.12							17.24			17.53	-					18.41				-			19.17						-		20.46					-				22.53	
пл. Шаликово					4.32					5.17					5.49	5.49		6.03			-				6.47			-											8.32							9.36	9.50		-						11.04		-		12.17							13.20	-				-									15.46		16.17							17.29			17.58	-					18.46				-			19.22						20.14		20.51					-				22.58	
пл. Партизанская					4.38					5.22					5.55	5.55		6.08			-				6.52			-											8.37							9.41	9.55		-						11.09		-		12.22							13.25	-				-									15.51		16.23							17.34			-	-					18.51				-			19.28						20.20		20.56					-				23.03	
Дорохово 					4.43					5.45					6.00	6.00		6.13			6.45				6.57			7.26											8.42							9.47	10.00		 10.18 						11.14		12.14		12.27							13.42	14.09				15.29									15.56		16.27							17.39			18.07	18.29					18.56				19.15			19.32						20.35		21.01					22.15				23.08	
пл. Садовая					4.45					-					6.03	6.03		6.15			-				6.59			-											8.44							9.49	10.02		-						11.17		-		12.29							13.47	-				-									15.59		16.30							17.41			18.09	-					18.58				-			19.35						20.40		21.03					-				23.10	
пл. Театральная					4.49					-					6.07	6.07		6.19			-				7.03			-											8.48							9.54	10.06		-						11.21		-		12.33							13.52	-				-									16.03		16.34							17.45			18.13	-					19.02				-			19.39						-		21.07					-				23.14	
Тучково 					4.53					5.53					6.11	6.11		6.23			6.52				7.07			7.34											8.52							9.57	10.10		10.26						11.24		12.22		12.37							13.55	14.17				15.37									16.06		16.37							17.49			18.17	18.36					19.06				19.24			19.42						20.46		21.11					22.23				23.18	
пл. Санаторная					4.57					-					6.15	6.15		6.27			-				7.11			-											8.56							10.01	10.14		-						11.28		-		12.41							14.00	-				-									16.10		16.41							17.53			18.21	-					19.10				-			19.46						20.50		21.15					-				23.22	
